ITEM,PROMO PRICE
WESTPOOL  SPEAKER -WP5100,660
BRUHM WASH MACH BWT-070H,650
MITSUI TABLE TOP       -ME 79,650
SAMSUMG  GALAXY A10 BLUE,640
NASCO WASH MACH –MTA65-P7015,620
MIDEA WASH MACH-MTE60-P1302S 6KG,600
MIDEA WATER DISPENSER- YL1345S-W,600
WESTPOINT MICROW -WMS3020ES,600
PANASONIC MICROW,590
BRUHM MICROW BMO-925-DB,500
PROTECH SOUNDBAR-PR5BD2,500
PROTECH STABILIZER-5000W,500
WESTPOINT MICROW-WMS2319EN,500
BRUHM MICROW BMO-925DG,500
BRUHM MICROW  BMM-25GH,500
MIDEA MICROW-EM928EAA,500
MIDEA MICROW  MG720CFB,500
NASCO STEAM IRON-EC1720,500
PANASONIC RICE COOKER  -421GS,500
PANASONIC SOUND SYSTEM-PM250,500
BRUHM MICROW BMM-20GG,480
SNAP PRO NASCO PHONE,460
BRUHM MICROW  BMM-20GPP,450
BRUHM MICROW   BMM-20MG,450
MEDIA HS-65 TABLE TOP 60 LTS,450
PROTECH STABILIZER -3000W,450
SYINIX MICROW  MW1023-02D,450
NASCO HOME THEATER-HT-S538-B333/W338,430
BRUHM MICROW BMO-720DB,420
MIDEA MICROW-MM720CFB-S,400
NASCO MICROW-MW20NAS-PZB,400
NASCO WASH  MACH-MTT60WP2403,400
WESTPOINT RICE COOKER-5.6LTRS,390
NASCO HOME THEATER-HT-233BK,380
BRUHM MICROW  BMM-25MPP,350
PANASONIC CEILING FAN-F56,350
SYINIX MICROW  MW720-03,350
NASCO POPCORN MAKER –PC5400-GS,320
NASCO TABLE BURNER-NASGS-K4CSS-S,310
SYINIX MICROW  MW820-01M,310
WESTPOOL  SPEAKER –WP3100,310
WESTPOOL  SPEAKER -WP4100,310
INNOVA I-4GSE- 4 BURNER,300
SYINIX FAN  RECHARGEABLE FAN –FSS16R-502R,270
PANASONIC RICE COOKER -22FG,260
PANASONIC RICE COOKER  - 22GS,260
ROCH BLUETOOTH SPEAKER DS-303,260
ROCH BLUETOOTH SPEAKER DS-403,260
HAVELLS ASPRO 3IN 1BLENDER,250
PANASONIC RICE COOKER-18GG,250
ROCH BLUETOOTH SPEAKER  DS-6030,250
ROCH BLUETOOTH SPEAKER DS-903,250
NICOLA FAN (innova),230
PROTECH STABILIZER -2000W,230
PROTECH STABILIZER-1500W,210
HAVELLS FUSION FAN,200
PHILIP  BLENDER-HR-2058,200
SAMSUMG METRO FEATURE PHONE DUOS-B350,195
INNOVA RICE COOKER  2.8L,180
MEDIA CEILING FAN-FC-56,180
NASCO BLENDER  BL1030K,180
NASCO SANDWISH MAKER,180
NASCO STAND BLENDER-BL9703A-CB,180
ORIENT 56 CEILING FAN-DELUXE,180
BRESCIA CEILING FAN,170
INNOVA RICE COOKER  2.2L,170
MITSUI  GAS COOKER  - ME 307,170
SMALL CYLINDER LPG-6KG,170
BRUHM BLENDER-BBS-1550SRM,160
INNOVA I-3GS  BURNER,160
MEDIA PERSONAL BLENDER-BL1189,160
MITSUI GAS COOKER –ME 207,160
NASCO BLENDER  BL1902,160
NASCO BLENDER  BL9295-A,160
SIMBO BLENDER SHB-3088,160
SYINIX FAN-16R-502,160
SYINIX FAN -N508,160
BRUHM BLENDER-BBP-1535APW,150
INNOVA I-3BG 3IN1 BLENDER,150
MIDEA RICE COOKER -MID-GM28HA,150
MULTI TV  HD-DECODER,150
WESTPOOL FAN -405R,150
BRUHM BLENDER-BBP-1535ARW,140
INNOVA I-2GSE BURNER,140
MIDEA RICE COOKER-MG-GP45B,140
MITSUI BLENDER  ME 210,140
MITSUI  GAS STOVE     - ME 003,140
NASCO RICE COOKER-NAS-CMA8A,140
ORIENT 24 CEILING FAN-NEW BREEZE,140
INNOVA I-2BG-2IN 1 BLENDER,130
MIDEA RICE COOKER-MG-GB25B,130
MIDEA RICE COOKER  -MID-GM18HA,130
MITSUI BLENDER  ME 250,130
NASCO BLENDER BL1008AK-CB,130
NASCO POPCORN MAKER- PC100SA-CB,130
